Year,Surname,Frecuency
2023,Ponce,2866
2023,Ferrer,2857
2023,Ocaña,2848
2023,Blasco,2844
2023,Espinoza,2834
2023,Chacón,2822
2023,Saavedra,2818
2023,Clemente,2809
2023,Tapia,2772
2023,Luengo,2769
2023,Salgado,2752
2023,Mesa,2742
2023,Blas,2722
2023,Cobo,2709
2023,Olivares,2708
2023,Puente,2703
2023,Álvaro,2692
2023,Madrid,2685
2023,Cuadrado,2677
2023,Cabello,2672
2023,Corrales,2671
2023,Toro,2663
2023,Vélez,2660
2023,Correa,2659
2023,Barrera,2651
2023,Linares,2648
2023,Liu,2623
2023,Pizarro,2622
2023,Ochoa,2620
2023,Quintero,2614
2023,Salcedo,2591
2023,Sevilla,2585
2023,Barbero,2577
2023,Duque,2575
2023,Peláez,2559
2023,Ferreira,2554
2023,Sacristán,2554
2023,Toledo,2548
2023,Criado,2545
2023,Villegas,2523
2023,Carvajal,2521
2023,Osorio,2519
2023,Asensio,2503
2023,Jaramillo,2493
2023,Córdoba,2492
2023,Calleja,2487
2023,Paniagua,2486
2023,Cabezas,2483
2023,Cid,2483
2023,Cerezo,2469
2023,Dávila,2461
2023,Peralta,2451
2023,Huerta,2443
2023,Carrión,2442
2023,Salinas,2433
2023,Salvador,2431
2023,Dorado,2429
2023,Chamorro,2424
2023,Porras,2423
2023,Gracia,2419
2023,Velásquez,2411
2023,Figueroa,2406
2023,Pablo,2406
2023,Peinado,2389
2023,Caro,2380
2023,San Jose,2375
2023,Martos,2367
2023,Portillo,2367
2023,Andrade,2365
2023,Angulo,2360
2023,Vela,2357
2023,Soler,2347
2023,Sastre,2336
2023,Palomino,2323
2023,Bustos,2310
2023,Barba,2307
2023,Aragón,2301
2023,Ye,2286
2023,Carrera,2282
2023,Quesada,2279
2023,Alcázar,2272
2023,Losada,2270
2023,Huertas,2230
2023,Mayoral,2228
2023,Ruano,2228
2023,Garzón,2226
2023,Zhou,2226
2023,Giraldo,2215
2023,Perea,2215
2023,Sandoval,2207
2023,Lorente,2194
2023,Sosa,2185
2023,Serna,2182
2023,Amo,2181
2023,Tejedor,2169
2023,Duarte,2156
2023,Estrada,2140
2023,Cobos,2128
2023,Mingo,2126
2023,Tejero,2110
2023,Amador,2108
2023,Alcántara,2104
2023,Lobo,2099
2023,Orozco,2093
2023,Wu,2081
2023,Vergara,2079
2023,Jara,2072
2023,Pavón,2063
2023,Francisco,2048
2023,Mejías,2042
2023,Prada,2035
2023,Godoy,2034
2023,Juan,2032
2023,Granados,2028
2023,Sainz,2022
2023,Matos,2014
2023,Bustamante,2011
2023,Cardona,1998
2023,Ferrero,1998
2023,Acevedo,1997
2023,Araujo,1992
2023,Real,1991
2023,Navarrete,1988
2023,Da Silva,1984
2023,Avilés,1983
2023,Manso,1969
2023,Laguna,1968
2023,Ramiro,1968
2023,Encinas,1964
2023,Robledo,1959
2023,Ojeda,1957
2023,Sobrino,1956
2023,Mínguez,1954
2023,Rocha,1954
2023,Frías,1939
2023,Cantero,1938
2023,Alcalde,1936
2023,Carrero,1934
2023,Rebollo,1933
2023,Haro,1924
2023,Barahona,1915
2023,Zhu,1915
2023,Gonzales,1913
2023,Hernanz,1913
2023,Cerro,1909
2023,Alfonso,1908
2023,Barragán,1899
2023,Castellano,1895
2023,Olmedo,1894
2023,Carballo,1883
2023,Guevara,1877
2023,Zamorano,1872
2023,Pinilla,1871
2023,Sebastián,1870
2023,Arce,1868
2023,Hervás,1861
2023,Asenjo,1858
2023,Rosado,1855
2023,Ventura,1846
2023,Rosales,1835
2023,Manzanares,1823
2023,Luis,1810
2023,Valdés,1806
2023,Feliz,1803
2023,Morillo,1800
2023,Borja,1798
2023,Cebrián,1797
2023,Becerra,1789
2023,Castilla,1782
2023,Álamo,1781
2023,Yuste,1780
2023,Gordo,1778
2023,Valenzuela,1778
2023,Orellana,1769
2023,Toribio,1757
2023,Morcillo,1755
2023,Patiño,1743
2023,Cristóbal,1738
2023,Cañas,1737
2023,Quispe,1719
2023,Castañeda,1712
2023,Herraiz,1712
2023,Marques,1701
2023,Sepúlveda,1698
2023,Baena,1696
2023,Jimeno,1691
2023,Toledano,1688
2023,Tomas,1685
2023,Solano,1682
2023,Vara,1682
2023,Barrero,1681
2023,Molero,1678
2023,Nogales,1678
2023,Ledesma,1662
