Year,District,Neighborhood,Gender,Number
2019,Vicálvaro,Vicálvaro,male,201
2019,Vicálvaro,Casco Histórico de Vicálvaro,male,139
2019,Vicálvaro,Valdebernardo,male,44
2019,Vicálvaro,Valderrivas,male,17
2019,Vicálvaro,El Cañaveral,male,1
2019,San Blas-Canillejas,San Blas-Canillejas,male,529
2019,San Blas-Canillejas,Simancas,male,94
2019,San Blas-Canillejas,Hellín,male,49
2019,San Blas-Canillejas,Amposta,male,39
2019,San Blas-Canillejas,Arcos,male,84
2019,San Blas-Canillejas,Rosas,male,64
2019,San Blas-Canillejas,Rejas,male,39
2019,San Blas-Canillejas,Canillejas,male,127
2019,San Blas-Canillejas,El Salvador,male,33
2019,Barajas,Barajas,male,129
2019,Barajas,Alameda de Osuna,male,58
2019,Barajas,Aeropuerto,male,8
2019,Barajas,Casco Histórico de Barajas,male,21
2019,Barajas,Timón,male,22
2019,Barajas,Corralejos,male,20
2019,Centro,Centro,female,455
2019,Centro,Palacio,female,83
2019,Centro,Embajadores,female,116
2019,Centro,Cortes,female,36
2019,Centro,Justicia,female,57
2019,Centro,Universidad,female,138
2019,Centro,Sol,female,25
2019,Arganzuela,Arganzuela,female,553
2019,Arganzuela,Imperial,female,102
2019,Arganzuela,Acacias,female,137
2019,Arganzuela,Chopera,female,83
2019,Arganzuela,Legazpi,female,28
2019,Arganzuela,Delicias,female,107
2019,Arganzuela,Palos de la Frontera,female,94
2019,Arganzuela,Atocha,female,2
2019,Retiro,Retiro,female,560
2019,Retiro,Pacífico,female,148
2019,Retiro,Adelfas,female,88
2019,Retiro,Estrella,female,107
2019,Retiro,Ibiza,female,123
2019,Retiro,Los Jerónimos,female,33
2019,Retiro,Niño Jesús,female,61
2019,Salamanca,Salamanca,female,706
2019,Salamanca,Recoletos,female,69
2019,Salamanca,Goya,female,130
2019,Salamanca,Fuente del Berro,female,102
2019,Salamanca,Guindalera,female,222
2019,Salamanca,Lista,female,118
2019,Salamanca,Castellana,female,65
2019,Chamartín,Chamartín,female,639
2019,Chamartín,El Viso,female,80
2019,Chamartín,Prosperidad,female,159
2019,Chamartín,Ciudad Jardín,female,69
2019,Chamartín,Hispanoamérica,female,168
2019,Chamartín,Nueva España,female,96
2019,Chamartín,Castilla,female,67
2019,Tetuán,Tetuán,female,610
2019,Tetuán,Bellas Vistas,female,114
2019,Tetuán,Cuatro Caminos,female,140
2019,Tetuán,Castillejos,female,75
2019,Tetuán,Almenara,female,119
2019,Tetuán,Valdeacederas,female,77
2019,Tetuán,Berruguete,female,85
2019,Chamberí,Chamberí,female,687
2019,Chamberí,Gaztambide,female,132
2019,Chamberí,Arapiles,female,101
2019,Chamberí,Trafalgar,female,112
2019,Chamberí,Almagro,female,119
2019,Chamberí,Ríos Rosas,female,110
2019,Chamberí,Vallehermoso,female,113
2019,Fuencarral-ElPardo,Fuencarral-ElPardo,female,744
2019,Fuencarral-ElPardo,El Pardo,female,14
2019,Fuencarral-ElPardo,Fuentelarreina,female,6
2019,Fuencarral-ElPardo,Peñagrande,female,164
2019,Fuencarral-ElPardo,Pilar,female,198
2019,Fuencarral-ElPardo,La Paz,female,95
2019,Fuencarral-ElPardo,Valverde,female,146
2019,Fuencarral-ElPardo,Mirasierra,female,76
2019,Fuencarral-ElPardo,El Goloso,female,45
2019,Moncloa-Aravaca,Moncloa-Aravaca,female,560
2019,Moncloa-Aravaca,Casa de Campo,female,81
2019,Moncloa-Aravaca,Argüelles,female,140
2019,Moncloa-Aravaca,Ciudad Universitaria,female,107
2019,Moncloa-Aravaca,Valdezarza,female,110
2019,Moncloa-Aravaca,Valdemarín,female,43
2019,Moncloa-Aravaca,El Plantío,female,10
2019,Moncloa-Aravaca,Aravaca,female,69
2019,Latina,Latina,female,828
2019,Latina,Los Cármenes,female,66
2019,Latina,Puerta del Ángel,female,158
2019,Latina,Lucero,female,112
2019,Latina,Aluche,female,244
2019,Latina,Campamento,female,47
2019,Latina,CuatroVientos,female,6
2019,Latina,Águilas,female,195
2019,Carabanchel,Carabanchel,female,886
2019,Carabanchel,Comillas,female,101
2019,Carabanchel,Opañel,female,124
2019,Carabanchel,San Isidro,female,143
2019,Carabanchel,Vista Alegre,female,191
2019,Carabanchel,Puerta Bonita,female,134
2019,Carabanchel,Buenavista,female,105
2019,Carabanchel,Abrantes,female,88
2019,Usera,Usera,female,481
2019,Usera,Orcasitas,female,91
2019,Usera,Orcasur,female,42
2019,Usera,San Fermín,female,63
2019,Usera,Almendrales,female,74
2019,Usera,Moscardó,female,98
2019,Usera,Zofío,female,50
2019,Usera,Pradolongo,female,63
2019,Puente de Vallecas,Puente de Vallecas,female,832
2019,Puente de Vallecas,Entrevías,female,151
2019,Puente de Vallecas,San Diego,female,126
2019,Puente de Vallecas,Palomeras Bajas,female,133
2019,Puente de Vallecas,Palomeras Sureste,female,144
2019,Puente de Vallecas,Portazgo,female,110
2019,Puente de Vallecas,Numancia,female,168
2019,Moratalaz,Moratalaz,female,413
2019,Moratalaz,Pavones,female,49
